,latitude,longitude,erro
73,-90.0,-107.0,0.9598238978919174
74,-90.0,-106.0,0.9537828096874015
75,-90.0,-105.0,0.9487471733958045
76,-90.0,-104.0,0.9447103982506115
77,-90.0,-103.0,0.9416644377236617
78,-90.0,-102.0,0.9395998583687558
79,-90.0,-101.0,0.9385059071579408
80,-90.0,-100.0,0.938370577290329
81,-90.0,-99.0,0.9391806724580553
82,-90.0,-98.0,0.9409218695582666
83,-90.0,-97.0,0.9435787798442239
84,-90.0,-96.0,0.9471350085123885
85,-90.0,-95.0,0.9515732127259364
86,-90.0,-94.0,0.9568751580785404
87,-90.0,-93.0,0.9630217735052478
88,-90.0,-92.0,0.9699932046502433
89,-90.0,-91.0,0.9777688657038673
90,-90.0,-90.0,0.9863274897237064
91,-90.0,-89.0,0.9956471774568102
92,-90.0,-88.0,1.0057054446820912
93,-90.0,-87.0,1.01647926809388
94,-90.0,-86.0,1.0279451297492015
95,-90.0,-85.0,1.0400790601029235
96,-90.0,-84.0,1.052856679656225
97,-90.0,-83.0,1.0662532392450796
98,-90.0,-82.0,1.080243658996471
99,-90.0,-81.0,1.0948025659810128
100,-90.0,-80.0,1.1099043305914362
101,-90.0,-79.0,1.1255231016770846
102,-90.0,-78.0,1.1416328404651264
103,-90.0,-77.0,1.1582073532996764
104,-90.0,-76.0,1.175220323230347
105,-90.0,-75.0,1.1926453404820592
106,-90.0,-74.0,1.2104559318380943
107,-90.0,-73.0,1.228625588968497
108,-90.0,-72.0,1.2471277957359497
109,-90.0,-71.0,1.2659360545111933
110,-90.0,-70.0,1.285023911529974
111,-90.0,-69.0,1.3043649813233005
112,-90.0,-68.0,1.3239329702525973
113,-90.0,-67.0,1.343701699181007
114,-90.0,-66.0,1.3636451253118245
115,-90.0,-65.0,1.3837373632246206
116,-90.0,-64.0,1.403952705139203
117,-90.0,-63.0,1.4242656404371132
118,-90.0,-62.0,1.4446508744698574
119,-90.0,-61.0,1.4650833466825313
120,-90.0,-60.0,1.485538248080946
121,-90.0,-59.0,1.5059910380697747
122,-90.0,-58.0,1.526417460688615
123,-90.0,-57.0,1.5467935602722247
124,-90.0,-56.0,1.5670956965605425
125,-90.0,-55.0,1.5873005592833793
126,-90.0,-54.0,1.6073851822440186
127,-90.0,-53.0,1.6273269569251854
128,-90.0,-52.0,1.6471036456401542
129,-90.0,-51.0,1.6666933942509692
130,-90.0,-50.0,1.6860747444750113
131,-90.0,-49.0,1.7052266458003462
132,-90.0,-48.0,1.7241284670294954
133,-90.0,-47.0,1.7427600074704541
134,-90.0,-46.0,1.7611015077929746
135,-90.0,-45.0,1.7791336605672707
136,-90.0,-44.0,1.796837620501484
137,-90.0,-43.0,1.8141950143933676
138,-90.0,-42.0,1.8311879508107964
139,-90.0,-41.0,1.8477990295148032
140,-90.0,-40.0,1.8640113506379952
141,-90.0,-39.0,1.879808523630247
142,-90.0,-38.0,1.8951746759827037
143,-90.0,-37.0,1.9100944617401727
144,-90.0,-36.0,1.9245530698110582
145,-90.0,-35.0,1.9385362320830637
146,-90.0,-34.0,1.9520302313518874
147,-90.0,-33.0,1.9650219090692256
148,-90.0,-32.0,1.97749867291538
149,-90.0,-31.0,1.9894485042007823
150,-90.0,-30.0,2.0008599650997865
151,-90.0,-29.0,2.0117222057189985
152,-90.0,-28.0,2.022024971001475
